8	3
9	136
12	9
13	10
14	11
15	2
16	2
17	18
19	1
20	21
21	58
22	23
24	25
26	3
27	3
28	3
29	3
30	31
31	5
33	32
34	2
35	2
36	37
37	5
38	37
39	40
41	42
43	2
44	6
45	32
46	47
48	49
50	2
51	2
52	53
54	55
56	1
57	2
59	5
60	1
61	125
62	126
63	1
64	1
65	1
66	1
67	1
68	58
69	1
70	127
71	128
72	1
73	1
74	129
75	130
76	4
77	131
78	23
79	125
80	2
81	1
82	132
83	133
84	1
85	1
86	1
87	2
88	134
89	2
90	135
91	135
92	2
93	137
94	1
95	138
96	1
97	139
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	140
106	141
107	142
108	143
109	144
110	145
111	146
112	147
113	134
114	148
116	1
117	149
118	5
119	1
120	134
121	150
122	136
123	136
124	6
